region,scenario,investment_type,investment_amount,current_bds,future_bds,improvement_percent
서울특별시,인프라 집중 투자,infrastructure,5000,7.082172124989204,7.682172124989204,8.471977091363268
서울특별시,혁신 집중 투자,innovation,3000,7.082172124989204,7.562172124989203,6.7775816730906016
서울특별시,사회 복지 투자,social,2000,7.082172124989204,7.242172124989204,2.259193891030205
서울특별시,환경 친화 투자,environmental,1500,7.082172124989204,7.178172124989204,1.355516334618123
서울특별시,균형 발전 투자,balanced,4000,7.082172124989204,7.466172124989204,5.422065338472492
부산광역시,인프라 집중 투자,infrastructure,5000,6.003727245546677,6.603727245546677,9.99379178068185
부산광역시,혁신 집중 투자,innovation,3000,6.003727245546677,6.483727245546676,7.995033424545464
부산광역시,사회 복지 투자,social,2000,6.003727245546677,6.163727245546677,2.66501114151516
부산광역시,환경 친화 투자,environmental,1500,6.003727245546677,6.099727245546677,1.5990066849090958
부산광역시,균형 발전 투자,balanced,4000,6.003727245546677,6.387727245546677,6.396026739636383
대구광역시,인프라 집중 투자,infrastructure,5000,5.958029540978817,6.558029540978817,10.070443522866931
대구광역시,혁신 집중 투자,innovation,3000,5.958029540978817,6.4380295409788175,8.056354818293556
대구광역시,사회 복지 투자,social,2000,5.958029540978817,6.118029540978817,2.6854516060978524
대구광역시,환경 친화 투자,environmental,1500,5.958029540978817,6.054029540978817,1.6112709636587113
대구광역시,균형 발전 투자,balanced,4000,5.958029540978817,6.342029540978817,6.445083854634845
인천광역시,인프라 집중 투자,infrastructure,5000,5.927831015662093,6.527831015662093,10.121746021685206
인천광역시,혁신 집중 투자,innovation,3000,5.927831015662093,6.407831015662094,8.097396817348177
인천광역시,사회 복지 투자,social,2000,5.927831015662093,6.087831015662093,2.699132272449392
인천광역시,환경 친화 투자,environmental,1500,5.927831015662093,6.023831015662093,1.6194793634696354
인천광역시,균형 발전 투자,balanced,4000,5.927831015662093,6.311831015662094,6.477917453878542
광주광역시,인프라 집중 투자,infrastructure,5000,6.323011075027629,6.923011075027629,9.489149914186711
광주광역시,혁신 집중 투자,innovation,3000,6.323011075027629,6.803011075027628,7.591319931349355
광주광역시,사회 복지 투자,social,2000,6.323011075027629,6.483011075027629,2.5304399771164565
광주광역시,환경 친화 투자,environmental,1500,6.323011075027629,6.419011075027629,1.518263986269874
광주광역시,균형 발전 투자,balanced,4000,6.323011075027629,6.707011075027629,6.073055945079496
대전광역시,인프라 집중 투자,infrastructure,5000,6.626847229014822,7.2268472290148225,9.05407925163833
대전광역시,혁신 집중 투자,innovation,3000,6.626847229014822,7.1068472290148215,7.243263401310649
대전광역시,사회 복지 투자,social,2000,6.626847229014822,6.786847229014822,2.414421133770221
대전광역시,환경 친화 투자,environmental,1500,6.626847229014822,6.722847229014822,1.4486526802621327
대전광역시,균형 발전 투자,balanced,4000,6.626847229014822,7.010847229014822,5.794610721048531
경기도,인프라 집중 투자,infrastructure,5000,6.102796660181826,7.002796660181826,14.747337165469068
경기도,혁신 집중 투자,innovation,3000,6.102796660181826,6.822796660181826,11.797869732375258
경기도,사회 복지 투자,social,2000,6.102796660181826,6.342796660181826,3.932623244125091
경기도,환경 친화 투자,environmental,1500,6.102796660181826,6.246796660181826,2.3595739464750545
경기도,균형 발전 투자,balanced,4000,6.102796660181826,6.678796660181826,9.438295785900202
강원도,인프라 집중 투자,infrastructure,5000,5.242916972947679,6.142916972947679,17.16601664004611
강원도,혁신 집중 투자,innovation,3000,5.242916972947679,5.962916972947679,13.732813312036876
강원도,사회 복지 투자,social,2000,5.242916972947679,5.482916972947679,4.577604437345632
강원도,환경 친화 투자,environmental,1500,5.242916972947679,5.386916972947679,2.746562662407379
강원도,균형 발전 투자,balanced,4000,5.242916972947679,5.818916972947679,10.986250649629499
충청북도,인프라 집중 투자,infrastructure,5000,5.772245662348326,6.672245662348326,15.591851987010752
충청북도,혁신 집중 투자,innovation,3000,5.772245662348326,6.492245662348326,12.473481589608605
충청북도,사회 복지 투자,social,2000,5.772245662348326,6.0122456623483265,4.157827196536207
충청북도,환경 친화 투자,environmental,1500,5.772245662348326,5.916245662348326,2.494696317921724
충청북도,균형 발전 투자,balanced,4000,5.772245662348326,6.348245662348326,9.978785271686881
충청남도,인프라 집중 투자,infrastructure,5000,6.062061614395339,6.962061614395338,14.84643438566848
충청남도,혁신 집중 투자,innovation,3000,6.062061614395339,6.782061614395339,11.877147508534788
충청남도,사회 복지 투자,social,2000,6.062061614395339,6.302061614395339,3.959049169511601
충청남도,환경 친화 투자,environmental,1500,6.062061614395339,6.206061614395339,2.3754295017069604
충청남도,균형 발전 투자,balanced,4000,6.062061614395339,6.638061614395339,9.501718006827828
전라북도,인프라 집중 투자,infrastructure,5000,5.332900504053785,6.232900504053784,16.876369610043685
전라북도,혁신 집중 투자,innovation,3000,5.332900504053785,6.052900504053785,13.501095688034951
전라북도,사회 복지 투자,social,2000,5.332900504053785,5.572900504053785,4.50036522934499
전라북도,환경 친화 투자,environmental,1500,5.332900504053785,5.476900504053785,2.700219137606994
전라북도,균형 발전 투자,balanced,4000,5.332900504053785,5.9089005040537845,10.800876550427958
전라남도,인프라 집중 투자,infrastructure,5000,5.075029334692276,5.975029334692277,17.733887641746442
전라남도,혁신 집중 투자,innovation,3000,5.075029334692276,5.795029334692276,14.187110113397145
전라남도,사회 복지 투자,social,2000,5.075029334692276,5.315029334692277,4.729036704465721
전라남도,환경 친화 투자,environmental,1500,5.075029334692276,5.2190293346922765,2.8374220226794327
전라남도,균형 발전 투자,balanced,4000,5.075029334692276,5.651029334692276,11.349688090717711
경상북도,인프라 집중 투자,infrastructure,5000,5.686181363021067,6.586181363021067,15.827845482611034
경상북도,혁신 집중 투자,innovation,3000,5.686181363021067,6.406181363021067,12.662276386088816
경상북도,사회 복지 투자,social,2000,5.686181363021067,5.926181363021067,4.2207587953629435
경상북도,환경 친화 투자,environmental,1500,5.686181363021067,5.830181363021067,2.532455277217766
경상북도,균형 발전 투자,balanced,4000,5.686181363021067,6.2621813630210665,10.129821108871049
